N°;CODIGO INTERNO;DESCRIPCION;MARCA;MODELO ;SERIAL;COLOR;CANTIDAD EXISTENTE;UBICACIÓN;ESTADO DE USO, CONSERVACION Y MANTTO.;OBSERVACION;FECHA ADQUISICION;VALOR  S/LIBRO O FACTURA;UBICACIÓN2;SITIO  ;RESPONSABLE;
1;BNS-20000-0001-1;PORTA-MANCUERNAS;;;;BLANCO;2;GIMNASIO;REPARABLE;;;;;;;
2;BNS-20000-0002-1;DISCOS DE PESAS 2,5KG;;;;NEGRO;2;GIMNASIO;REPARABLE;;;;;;;
3;BNS-20000-0003-1;DISCOS DE PESAS 5 KG;;;;NEGRO;4;GIMNASIO;REPARABLE;;;;;;;
4;BNS-20000-0004-1;DISCOS DE PESAS 10 KG;H.M.S;;;NEGRO;6;GIMNASIO;REPARABLE;;;;;;;
5;BNS-20000-0005-1;DISCOS DE PESAS 20 KG;;;;NEGRO;14;GIMNASIO;REPARABLE;;;;;;;
6;BNS-20000-0006-1;MANCUERNAS 2,5KG;;;;NEGRO;4;GIMNASIO;REPARABLE;;;;;;;
7;BNS-20000-0007-1;MANCUERNAS 3,5KG;;;;NEGRO;1;GIMNASIO;REPARABLE;¡DESAPARECIDA!;;;;;;
8;BNS-20000-0008-1;MANCUERNAS 7,5KG;;;;NEGRO;2;GIMNASIO;REPARABLE;;;;;;;
9;BNS-20000-0009-1;BICICLETA SPINNING;A.M.C.D;3J2007-35;;BLANCO;3;GIMNASIO;REPARABLE;;;;;;;
10;BNS-20000-0010-1;PRESS BANCO INCLINADO;;;;BLANCO Y ROJO;1;GIMNASIO;REPARABLE;;;;;;;
11;BNS-20000-0011-1;ESCALADORA LIBRE;IRON MASTER;;;;3;GIMNASIO;REPARABLE;;;;;;;
12;BNS-20000-0012-1;MAQUINA PECK-DECK;;;;BLANCO;1;GIMNASIO;DAÑADO;;;;;;;
13;BNS-20000-0013-1;MAQUINA CURL FEMORAL ACOSTADO;IRON MASTER SPORT SYSTEM;;;BLANCO;1;GIMNASIO;REPARABLE;;;;;;;
14;BNS-20000-0014-1;PRESS BANCO PLANO;;;;BLANCO;1;GIMNASIO;REPARABLE;;;;;;;
15;BNS-20000-0015-1;MAQUINA MULTIFUERZA (REMO,JALÓN, PREDICADO);;;;BLANCO;1;GIMNASIO;REPARABLE;;;;;;;
16;BNS-20000-0016-1;BARRAS Z;;;;GRIS;2;GIMNASIO;OPERATIVO;;;;;;;
17;BNS-20000-0017-1;BARRAS OLIMPICAS;;;;GRIS;1;GIMNASIO;OPERATIVO;;;;;;;
18;BNS-20000-0018-1;PORTA DISCOS DE PESAS;IRON MASTER;;;BLANCO;2;GIMNASIO;OPERATIVA;;;;;;;
19;BNS-20000-0019-1;MAQUINA PRESS HOMBROS;;;;BLANCO Y ROJO;1;GIMNASIO;REPARABLE;;;;;;;
20;BNS-20000-0020-1;MAQUINA PRENSA ;;;;BLANCO;1;GIMNASIO;REPARABLE;;;;;;;
21;BNS-20000-0021-1;BANCO INDIVIDUAL;;;;;1;GIMNASIO;OPERATIVO;;;;;;;
22;BNS-20000-0022-1;PELOTA DE PILATES;;;;BEIGE;1;GIMNASIO;DAÑADO;¡DESAPARECIDA!;;;;;;
23;BNS-20000-0023-1;COLCHONETAS;;;;ROJO;6;GIMNASIO;OPERATIVO;5 OPERATIVAS Y 1 DAÑADA (NO ESTAN EN EL GIMNASIO);;;;;;
24;BNS-20000-0024-1;ESPEJOS;;;;;28;GIMNASIO;OPERATIVO;26 ESPEJOS ( 24 OPERATIVOS, 3 DAÑADOS Y 1 RAYADO);16/5/2014;7,500,00;;;;
25;BNS-20000-0025-1;PESO;;;;BLANCO;1;GIMNASIO;DAÑADO;;;;;;;
26;BNS-20000-0026-1;EXTENSOR CUADRICEPS LIBRE;IRON MASTER;;;BLANCO Y ROJO;1;GIMNASIO;REPARABLE;;;;;;;
